id,family,source,locator,source_class,constraint_type,level,constraint,response,architecture_elements,verification_criterion,status,diagnostic_note,source_unit_id,atomization_rule,sibling_constraint_ids
C04.01,C04,Luật Dữ liệu 60/2024/QH15,điểm a khoản 2 Điều 11,A,DATA_STD,L1,Cơ quan nhà nước dùng thống nhất bảng mã danh mục dùng chung và thống nhất với dữ liệu chủ trong CSDL quốc gia.,Kế thừa/ánh xạ mã và dữ liệu chủ; không tạo taxonomy độc lập.,AE02;AE16,Có mapping dictionary/key tới nguồn quốc gia.,ĐÁP ỨNG,,SU048,R1,
C04.02,C04,Luật Dữ liệu 60/2024/QH15,điểm b khoản 2 Điều 11,A,ONCE_ONLY,L1,"Dữ liệu đã có trong CSDL được kết nối, chia sẻ thì không thu thập lại.",Ưu tiên tham chiếu/truy vấn/đồng bộ nguồn có thẩm quyền; tránh form thu lại dữ liệu định danh.,AE03;AE11;AE16,Trường dữ liệu nguồn ngoài được đánh dấu source và không yêu cầu nhập lại nếu truy cập được.,ĐÁP ỨNG,,SU049,R1,
C04.03,C04,Luật Dữ liệu 60/2024/QH15,điểm c khoản 2 Điều 11,A,DATA_CREATE,L1,"Dữ liệu phục vụ quản lý nhà nước/TTHC/dịch vụ công phải được tạo lập, số hóa theo pháp luật.",Ghi provenance và phương thức tạo lập; chỉ nhận artefact hợp lệ.,AE07;AE15,"Record có nguồn tạo lập, chủ thể và loại chứng từ.",ĐÁP ỨNG,,SU050,R1,
C04.04,C04,Luật Dữ liệu 60/2024/QH15,điểm đ khoản 2 Điều 11,A,PROVENANCE,L1,"Dữ liệu thu từ số hóa phải xác thực, truy nguyên được tới bản số hóa giấy tờ/tài liệu.",Lưu liên kết tới nguồn số hóa và hash/version nếu có.,AE15,Từ record truy ngược được artefact số hóa nguồn.,ĐÁP ỨNG,,SU051,R1,
C04.05,C04,Luật Dữ liệu 60/2024/QH15,khoản 1 Điều 12,A,QUALITY,L1,"Chất lượng dữ liệu gồm chính xác, hợp lệ, toàn vẹn, đầy đủ, kịp thời và thống nhất.",Định nghĩa data-quality dimensions và trạng thái kiểm tra.,AE15,Mỗi dataset quan trọng có rule/metric cho các chiều áp dụng.,ĐÁP ỨNG,,SU052,R1,
C04.06,C04,Luật Dữ liệu 60/2024/QH15,điểm a khoản 2 Điều 12,A,QUALITY,L1,Cơ quan quản lý CSDL phải áp dụng đồng bộ tiêu chuẩn/quy chuẩn và quy trình bảo đảm chất lượng.,Gắn rule chất lượng/chuẩn vào metadata quản trị.,AE02;AE15,Metadata chỉ ra chuẩn/rule chất lượng đang áp dụng.,ĐÁP ỨNG,,SU053,R1,
C04.07,C04,Luật Dữ liệu 60/2024/QH15,điểm b khoản 2 Điều 12,A,QUALITY,L1,"Phải thường xuyên kiểm tra, giám sát, khắc phục, đồng bộ và cập nhật dữ liệu.","Thiết kế job/luồng kiểm tra, đồng bộ và lịch sử khắc phục.",AE11;AE15,Có log kiểm tra/sync/correction và trạng thái lỗi.,ĐÁP ỨNG,,SU054,R1,
C04.08,C04,Luật Dữ liệu 60/2024/QH15,khoản 1 Điều 13,A,CLASSIFICATION,L1,"Cơ quan nhà nước phải phân loại dữ liệu theo chia sẻ, mức quan trọng và tiêu chí quản trị/bảo vệ.","Formal hóa classification profile theo trục chia sẻ, tầm quan trọng, dữ liệu cá nhân/nhạy cảm và điều kiện truy cập.",AE14;AE15;AE23,Mỗi nhóm dữ liệu có classification profile; catalog giá trị cụ thể kế thừa nguồn có thẩm quyền.,ĐÁP ỨNG,Architecture taxonomy axes formalized in WP3.,SU055,R1,
C05.01,C05,NĐ 278/2025/NĐ-CP,khoản 1 Điều 4,A,INTEROP_GOV,L1,"Chia sẻ dữ liệu phải kịp thời, đầy đủ, đúng mục đích, an toàn và đúng thẩm quyền.",Contract dữ liệu và policy truy cập gắn mục đích/phạm vi/chủ thể.,AE14;AE20,"Mỗi interface có scope, purpose, authority và audit.",ĐÁP ỨNG,,SU056,R1,
C05.02,C05,NĐ 278/2025/NĐ-CP,khoản 2 Điều 4,A,INTEROP,L1,"Mọi chia sẻ dữ liệu bắt buộc phải qua Nền tảng chia sẻ, điều phối dữ liệu để giám sát, truy vết, đánh giá.",Định tuyến luồng liên cơ quan qua biên Agent Node/nền tảng quốc gia.,AE12;AE20;AE15,Không có luồng bắt buộc point-to-point vượt ngoài biên quy định.,ĐÁP ỨNG,,SU057,R1,
C05.03,C05,NĐ 278/2025/NĐ-CP,khoản 3 Điều 4,A,INTEROP,L1,"Chia sẻ theo danh mục CSDL/dữ liệu bắt buộc, tiêu chuẩn kỹ thuật và cơ chế có thẩm quyền.",Interface catalog gắn dataset/standard/authority.,AE02;AE11;AE20,Mỗi interface chỉ ra dataset và chuẩn/cơ chế áp dụng.,ĐÁP ỨNG,,SU058,R1,
C05.04,C05,NĐ 278/2025/NĐ-CP,khoản 4 Điều 4,A,DATA_GOV,L1,"Kết nối/chia sẻ phải tuân thủ Khung dữ liệu quốc gia, quản trị và từ điển dùng chung.",Trace interface/data model tới khung/từ điển.,AE01;AE02;AE20,Có mapping architecture/data dictionary.,ĐÁP ỨNG,,SU059,R1,
C05.05,C05,NĐ 278/2025/NĐ-CP,khoản 5 Điều 4,A,METADATA,L1,"Cơ quan quản lý CSDL phải công bố mô tả, phạm vi, chất lượng, cơ quan quản lý và điều kiện tiếp cận dữ liệu.","AE02/AE21 bắt buộc metadata công bố: mô tả, phạm vi, chất lượng, cơ quan quản lý, điều kiện tiếp cận.",AE02;AE21,Dataset catalog có đủ năm trường bắt buộc và publication mechanism.,ĐÁP ỨNG,Minimum publication metadata formalized in WP3.,SU060,R1,
C05.06,C05,NĐ 278/2025/NĐ-CP,khoản 6 Điều 4,A,PRIVACY,L1,Chia sẻ không được xâm phạm quyền riêng tư/bí mật cá nhân/gia đình trừ trường hợp luật quy định.,"Kiểm soát truy cập, minimization và policy dữ liệu cá nhân.",AE14,Interface lọc dữ liệu theo quyền và purpose.,ĐÁP ỨNG,,SU061,R1,
C05.07,C05,NĐ 278/2025/NĐ-CP,khoản 7 Điều 4,A,QUALITY,L1,"Dữ liệu chia sẻ phải cập nhật, chính xác.",Quality status và sync timestamps gắn dữ liệu chia sẻ.,AE11;AE15,Payload/record có version/timestamp/source; quality checks.,ĐÁP ỨNG,,SU062,R1,
C05.08,C05,NĐ 278/2025/NĐ-CP,khoản 1 Điều 5,A,MASTER_DATA,L1,"Tích hợp, đồng bộ và sử dụng dữ liệu chủ quốc gia là bắt buộc khi xây/cập nhật/vận hành CSDL, HTTT.",Không tạo enterprise master tách rời; reuse national master where applicable.,AE03;AE16,EnterpriseIdentity có upstream national master/source.,ĐÁP ỨNG,,SU063,R1,
C05.09,C05,NĐ 278/2025/NĐ-CP,khoản 2 Điều 5,A,SOURCE_OF_TRUTH,L1,Một dữ liệu chủ quốc gia chỉ có một nguồn tin cậy duy nhất.,Phân định source authority theo thuộc tính và không tạo competing authoritative copy.,AE16;AE15,Mỗi thuộc tính master có exactly one authoritative source role.,ĐÁP ỨNG,,SU064,R1,
C05.10,C05,NĐ 278/2025/NĐ-CP,khoản 3 Điều 5,A,IDENTIFIER,L1,Dữ liệu chủ được thiết lập từ mã khóa định danh và danh mục dữ liệu chủ quốc gia.,Dùng key mapping và canonical identifier.,AE02;AE03;AE16,Mỗi master entity có identifier mapping documented.,ĐÁP ỨNG,,SU065,R1,
C05.11,C05,NĐ 278/2025/NĐ-CP,khoản 1 Điều 6,A,MASTER_DATA,L1,"Bộ/cơ quan trung ương xác định, công bố, cập nhật dữ liệu chủ chuyên ngành và tích hợp vào Từ điển dữ liệu dùng chung.",Domain master catalog/version và mapping common dictionary.,AE02;AE16;AE18,Danh mục master chuyên ngành có owner/version và mapping.,ĐÁP ỨNG,,SU066,R1,
C05.12,C05,NĐ 278/2025/NĐ-CP,khoản 2 Điều 6,A,MASTER_DATA,L1,"Dữ liệu chủ chuyên ngành phải có khả năng mở rộng, tích hợp, liên thông, truy xuất với dữ liệu chủ quốc gia.",Mô hình liên kết key/source giữa domain master và national master.,AE03;AE11;AE16,Từ domain entity truy xuất được national identifier/source.,ĐÁP ỨNG,,SU067,R1,
C05.13,C05,NĐ 278/2025/NĐ-CP,điểm a khoản 2 Điều 7,A,INTEROP,L1,"Truy vấn bắt buộc thực hiện qua Nền tảng chia sẻ, điều phối dữ liệu; nền tảng xác thực và phân quyền trao đổi.",Adapter query đi qua AE12 và policy authorization.,AE12;AE14;AE20;AE24;AE25,Sequence/interface chỉ ra platform-mediated query và authz.,ĐÁP ỨNG,,SU068,R1,
C05.14,C05,NĐ 278/2025/NĐ-CP,điểm b khoản 2 Điều 7,A,INTEROP,L1,"Có thể đồng bộ một phần/toàn bộ dữ liệu qua Nền tảng chia sẻ, điều phối dữ liệu.",Cho phép query-on-demand hoặc đồng bộ một phần/toàn bộ miền được phép từ AE24 sang AE25 qua nền tảng chia sẻ; strategy là VP1.,AE11;AE12;AE15;AE24;AE25,"Thiết kế chỉ rõ dataset nào query, partial sync hay full sync; mọi bản sao giữ provenance/version.",ĐÁP ỨNG,,SU069,R1,
C05.15,C05,NĐ 278/2025/NĐ-CP,khoản 3 Điều 7,A,SECURITY,L1,"Agent Node là thành phần bảo mật điểm kết nối bắt buộc cho kết nối trực tiếp tới Nền tảng chia sẻ, điều phối dữ liệu.","Đặt Agent Node tại boundary, không mô hình như module nghiệp vụ.",AE12;AE20;AE24;AE25,Hình ranh giới có Agent Node giữa Bộ và nền tảng quốc gia.,ĐÁP ỨNG,,SU070,R1,
C05.16,C05,NĐ 278/2025/NĐ-CP,khoản 2 Điều 10,A,INTEROP,L1,"Dữ liệu bắt buộc được chia sẻ qua Nền tảng chia sẻ, điều phối; kết nối trực tiếp chỉ theo điều kiện/thỏa thuận quy định.",Default mediated integration; ngoại lệ direct connection phải có quyết định/contract.,AE12;AE20;AE24;AE25,Không có direct integration mặc định.,ĐÁP ỨNG,,SU071,R1,
C05.17,C05,NĐ 278/2025/NĐ-CP,khoản 2 Điều 23,A,TRANSITION,L1,NĐ 47/2020/NĐ-CP hết hiệu lực từ khi NĐ 278 có hiệu lực.,Không dùng NĐ47 làm căn cứ hiện hành; flag draft/source cũ.,AE01;AE18,Corpus/reference audit không coi NĐ47 là normative current source.,ĐÁP ỨNG,,SU072,R1,
C05.18,C05,NĐ 278/2025/NĐ-CP,khoản 2--3 Điều 24,A,TRANSITION,L1,Hệ thống phải hoàn tất chuẩn hóa và việc chia sẻ bắt buộc thống nhất qua nền tảng theo mốc 31/12/2026.,V5/AE22 ghi dependency và target path trước 31/12/2026 nhưng không thể chứng minh tiến độ triển khai.,AE11;AE12;AE20;AE22,Architecture supports target path; evidence of delivery milestone requires implementation plan/status.,MỘT PHẦN,Remains partial: implementation schedule evidence required.,SU073,R1,
C06.01,C06,QĐ 1973/QĐ-BKHCN,Mục II.1; nguyên tắc kế thừa khung quốc gia,A,ARCH_REF,L1,Khung dữ liệu Bộ kế thừa/tuân thủ kiến trúc dữ liệu quốc gia và từ điển dùng chung.,Trace model/data dictionary tới QĐ2439.,AE01;AE02,Data view chỉ ra inheritance/mapping.,ĐÁP ỨNG,,SU074,R1,
C06.02,C06,QĐ 1973/QĐ-BKHCN,Mục II.1(d--e),A,DATA_GOV,L1,Các thành phần phải kết nối/liên thông/tích hợp và tránh đầu tư/lưu trữ dữ liệu trùng lặp.,Reuse source data và shared integration layer.,AE03;AE11;AE16;AE20,Không có competing source or duplicate point-to-point silo.,ĐÁP ỨNG,,SU075,R1,
C06.03,C06,QĐ 1973/QĐ-BKHCN,Mục II.2; nguyên tắc tạo lập dữ liệu,A,ONCE_ONLY,L1,Dữ liệu được thu thập/tạo lập một lần tại cơ quan/hệ thống có thẩm quyền tạo ra dữ liệu.,Phân định create/update authority và provenance.,AE15;AE16,Mỗi nhóm thuộc tính có create/update authority.,ĐÁP ỨNG,,SU076,R1,
C06.04,C06,QĐ 1973/QĐ-BKHCN,Mục II.2; minh bạch chia sẻ dữ liệu,A,METADATA,L1,"Dữ liệu chia sẻ phải có thông tin nguồn gốc, nội dung và phạm vi.",Metadata/provenance đi kèm dataset/interface.,AE02;AE15;AE20,Dataset catalog có source/content/scope.,ĐÁP ỨNG,,SU077,R1,
C06.05,C06,QĐ 1973/QĐ-BKHCN,Mục II.2; xác định nguồn tạo lập,A,SOURCE_OF_TRUTH,L1,Phải xác định điểm tạo lập/nguồn gốc cho từng nhóm dữ liệu và trách nhiệm pháp lý của nguồn.,Phân vai authority/source tới cấp nhóm thuộc tính.,AE16;AE15,Authority matrix không gán một nguồn vật lý cho toàn entity.,ĐÁP ỨNG,,SU078,R1,
C06.06,C06,QĐ 1973/QĐ-BKHCN,Mục II.2; chuẩn hóa metadata/identifier,A,DATA_STD,L1,"Dữ liệu dùng chung phải dùng chuẩn, metadata và định danh thống nhất; chia sẻ qua nền tảng tích hợp của Bộ.","Canonical IDs, metadata và integration contract.",AE02;AE11;AE16,Có identifier mapping và shared integration path.,ĐÁP ỨNG,,SU079,R1,
C06.07,C06,QĐ 1973/QĐ-BKHCN,Mục III; nguyên tắc Zero Trust,A,SECURITY,L1,Các kết nối phải được xác thực/ủy quyền theo nguyên tắc an toàn được khung cấp Bộ đặt ra.,"V6/AE23 khóa trust zones, authentication/authorization concern, scope-limited privilege, interop boundary và audit owner; mechanism triển khai là L3.",AE13;AE14;AE20;AE23,"Mỗi vùng Z1--Z5 có actor/quyền, control và audit owner; external interfaces không đi vòng biên tích hợp.",ĐÁP ỨNG,WP7.3 security/privacy view completed.,SU080,R1,
C06.08,C06,QĐ 1973/QĐ-BKHCN,Mục III; Data Lineage,A,PROVENANCE,L1,Cần theo dõi nguồn gốc và biến đổi dữ liệu qua Data Lineage.,Lưu lineage/source/transformation/version.,AE15,Từ derived record truy được input/source/transformation.,ĐÁP ỨNG,,SU081,R1,
C06.09,C06,QĐ 1973/QĐ-BKHCN,Mục III.1.4,A,INTEROP,L1,"LGSP/LDOP và API Gateway là lớp tích hợp/chia sẻ, điều phối dữ liệu cấp Bộ.",Đặt integration layer ngoài domain core và dùng làm biên trao đổi.,AE11;AE20;AE24;AE25,Hình kiến trúc chỉ ra layer và responsibility.,ĐÁP ỨNG,,SU082,R2,C06.10
C06.10,C06,QĐ 1973/QĐ-BKHCN,Mục III.1.4,A,SECURITY,L1,Agent Node là điểm kết nối bảo mật giữa Bộ với các nền tảng quốc gia/Trung tâm dữ liệu quốc gia.,Đặt Agent Node tại boundary.,AE12;AE20;AE24;AE25,System context thể hiện Agent Node/national platform.,ĐÁP ỨNG,,SU082,R2,C06.09
C06.11,C06,QĐ 1973/QĐ-BKHCN,Mục III.3.2/metadata catalog,A,METADATA,L1,"Metadata phải mô tả nguồn gốc, cấu trúc, chất lượng và điều kiện khai thác dữ liệu.",Catalog metadata các thuộc tính trên.,AE02;AE15,Catalog schema có origin/structure/quality/access conditions.,ĐÁP ỨNG,,SU083,R1,
C06.12,C06,QĐ 1973/QĐ-BKHCN,"Mục III.3.3, STT 3",A,SOURCE_OF_TRUTH,L1,Dữ liệu tổ chức/doanh nghiệp có nguồn từ CSDL quốc gia về doanh nghiệp/CSDL dùng chung Bộ Tài chính.,EnterpriseIdentity lấy từ nguồn doanh nghiệp quốc gia.,AE03;AE16,Tên/định danh/status đăng ký không được platform tự tạo authoritative.,ĐÁP ỨNG,,SU084,R1,
C06.13,C06,QĐ 1973/QĐ-BKHCN,Mục III.3.3 và mô tả nền tảng dữ liệu dùng chung,A,DATA_GOV,L1,"Nền tảng dữ liệu dùng chung tích hợp dữ liệu từ hệ chuyên ngành/nguồn khác, không đồng nghĩa thay thế mọi hệ nguồn.",Giữ source-of-record boundary và shared/derived data separation.,AE11;AE15;AE16;AE20,Derived/shared copy luôn giữ upstream source/provenance.,ĐÁP ỨNG,,SU085,R1,
C06.14,C06,QĐ 1973/QĐ-BKHCN,"Phụ lục, Mục 3, STT 2--3",A,MASTER_DATA,L1,Danh mục dữ liệu chủ cấp Bộ bao gồm DNKH&CN trong miền KH&CN và DNKNST trong miền ĐMST.,Mô hình domain master riêng cho qualification/status nhưng liên kết enterprise identity chung.,AE16,Có hai domain qualification records liên kết một enterprise identity.,ĐÁP ỨNG,,SU086,R1,
C07.01,C07,QĐ 1762/QĐ-BKHCN,"Phụ lục, STT 38",A,DB_SCOPE,L1,"Danh mục CSDL chuyên ngành hiện hành liệt kê “CSDL Doanh nghiệp khởi nghiệp” do Cục Khởi nghiệp và Doanh nghiệp công nghệ chủ trì, không có một dòng riêng cho CSDL DNKH&CN.","Giữ CSDL chuyên ngành cấp Bộ/sổ đăng ký trung ương ở AE25 theo danh mục hiện hành; AE24 được mô hình là nút nghiệp vụ logic phục vụ thẩm quyền địa phương và không tự tuyên bố là một mục CSDL chuyên ngành mới. Việc AE24 có kho vật lý riêng chỉ thuộc profile P-DIST. Phạm vi DNKH&CN so với DNKNST vẫn cần nguồn có thẩm quyền làm rõ.",AE16;AE20,Kiến trúc phân biệt nút nghiệp vụ logic/profile triển khai với CSDL chuyên ngành chính thức; không tạo dòng danh mục pháp lý mới bằng quyết định kỹ thuật.,CẦN LÀM RÕ,Phạm vi tổ chức CSDL cần quyết định/cập nhật ở nguồn có thẩm quyền.,SU087,R1,
C07.02,C07,Dự thảo Khung tiêu chuẩn dữ liệu DNKH&CN/DNKNST (bản 2026 trong project source),Điều 4 khoản 1,D,DRAFT_DATA,D,"Dữ liệu được tạo lập một lần, cập nhật tại nguồn và sử dụng nhiều lần.",Đối chiếu với nguyên tắc tạo lập một lần và thẩm quyền nguồn của kiến trúc.,AE15;AE16,Chỉ dùng cho chẩn đoán.,KHÔNG CHẤM,Phù hợp về nguyên tắc với C04/C05.,SU088,R1,
C07.03,C07,Dự thảo Khung tiêu chuẩn dữ liệu DNKH&CN/DNKNST (bản 2026 trong project source),Điều 4 khoản 2,D,DRAFT_DATA,D,Mỗi dữ liệu chủ chỉ có một nguồn dữ liệu chính thức.,Kiểm tra dự thảo có chỉ rõ nguồn tới cấp thuộc tính hay chỉ cấp bản ghi.,AE16,Chỉ dùng cho chẩn đoán.,KHÔNG CHẤM,Cần làm rõ thẩm quyền nguồn theo nhóm thuộc tính.,SU089,R1,
C07.04,C07,Dự thảo Khung tiêu chuẩn dữ liệu DNKH&CN/DNKNST (bản 2026 trong project source),Điều 4 khoản 3,D,DRAFT_DATA,D,"Dữ liệu phải chuẩn hóa, quản lý tập trung, thống nhất và có khả năng kết nối/chia sẻ.","Đối chiếu yêu cầu quản lý tập trung, thống nhất với lõi SRA và profile P-DIST: quản trị logic tập trung không mặc nhiên đồng nghĩa lưu trữ vật lý tập trung; topology vẫn là VP7.",AE02;AE11;AE16,Chỉ dùng cho chẩn đoán.,KHÔNG CHẤM,Nếu văn bản chính thức quy định một topology bắt buộc thì VP7/P-DIST và AD01 phải đánh giá lại.,SU090,R1,
C07.05,C07,Dự thảo Khung tiêu chuẩn dữ liệu DNKH&CN/DNKNST (bản 2026 trong project source),Điều 4 khoản 5,D,DRAFT_TECH,D,Khuyến khích tiêu chuẩn mở và API/công nghệ hiện đại.,Không biến nội dung khuyến khích thành nghĩa vụ lựa chọn công nghệ.,AE11;AE20,Chỉ dùng cho chẩn đoán.,KHÔNG CHẤM,Không dùng để chứng minh lựa chọn công nghệ L3.,SU091,R1,
C07.06,C07,Dự thảo Khung tiêu chuẩn dữ liệu DNKH&CN/DNKNST (bản 2026 trong project source),Phụ lục I Điều 4; Phụ lục VI/VII tương ứng,D,DRAFT_ID,D,Mã số thuế là khóa định danh chính của doanh nghiệp; mã nội bộ phải liên kết mã số thuế.,Đối chiếu với nhóm thuộc tính định danh pháp lý doanh nghiệp và ánh xạ khóa.,AE03;AE16,Chỉ dùng cho chẩn đoán.,KHÔNG CHẤM,Phù hợp nếu nguồn mã số thuế được xác định từ nguồn quốc gia.,SU092,R1,
C07.07,C07,Dự thảo Khung tiêu chuẩn dữ liệu DNKH&CN/DNKNST (bản 2026 trong project source),"Phụ lục IV, MD001",D,DRAFT_MASTER,D,"MD001 DNKH&CN gom thông tin đăng ký, hồ sơ/chứng nhận và cập nhật địa phương trong một bản ghi gốc.",Kiểm tra nguy cơ trộn định danh pháp lý doanh nghiệp với thẩm quyền chứng nhận DNKH&CN.,AE03;AE16,Chỉ dùng cho chẩn đoán.,KHÔNG CHẤM,Cần làm rõ thẩm quyền theo thuộc tính.,SU093,R1,
C07.08,C07,Dự thảo Khung tiêu chuẩn dữ liệu DNKH&CN/DNKNST (bản 2026 trong project source),"Phụ lục IX, MD001",D,DRAFT_MASTER,D,"MD001 DNKNST gom thông tin đăng ký, hồ sơ/công nhận và cập nhật địa phương trong một bản ghi gốc.",Kiểm tra nguy cơ trộn định danh pháp lý doanh nghiệp với thẩm quyền công nhận DNKNST.,AE03;AE16,Chỉ dùng cho chẩn đoán.,KHÔNG CHẤM,Cần làm rõ thẩm quyền theo thuộc tính.,SU094,R1,
C07.09,C07,Dự thảo Khung tiêu chuẩn dữ liệu DNKH&CN/DNKNST (bản 2026 trong project source),Phần căn cứ pháp lý,D,DRAFT_LEGAL,D,Dự thảo vẫn viện dẫn NĐ 47/2020/NĐ-CP và NĐ 13/2023/NĐ-CP.,Đánh dấu căn cứ pháp lý cũ để đối chiếu với NĐ278/NĐ356 hiện hành.,AE01;AE18,Chỉ dùng cho chẩn đoán.,KHÔNG CHẤM,Cần cập nhật căn cứ trước khi ban hành.,SU095,R1,
C08.01,C08,NĐ 69/2024/NĐ-CP; NĐ 169/2025/NĐ-CP,"NĐ69, khoản 2 Điều 12",A,IDENTITY,L1,Cơ quan quản lý định danh kiểm tra/xác thực thông tin tổ chức với CSDL quốc gia về đăng ký doanh nghiệp và CSDL liên quan.,Không tự xác minh pháp lý doanh nghiệp ngoài nguồn có thẩm quyền; consume identity/auth result.,AE03;AE13,Organization identity links to official e-ID/enterprise source.,ĐÁP ỨNG,,SU096,R1,
C08.02,C08,NĐ 69/2024/NĐ-CP; NĐ 169/2025/NĐ-CP,"NĐ69, khoản 3 Điều 12",A,IDENTITY,L1,Kết quả đăng ký tài khoản định danh điện tử tổ chức phải được thông báo cho người thực hiện.,Platform consumes status/result; notification issuance remains e-ID system responsibility.,AE13;AE20,System context keeps notification responsibility outside platform.,ĐÁP ỨNG,,SU097,R1,
C08.03,C08,NĐ 69/2024/NĐ-CP; NĐ 169/2025/NĐ-CP,"NĐ69, điểm a khoản 4 Điều 13",A,TIME,L1,Cấp e-ID tổ chức không quá 03 ngày làm việc khi thông tin cần xác thực đã có trong CSDL.,Không dùng mốc này làm SLA của platform; chỉ model external dependency state if needed.,AE13;AE20,No internal API latency claim based on this deadline.,ĐÁP ỨNG,,SU098,R1,
C08.04,C08,NĐ 69/2024/NĐ-CP; NĐ 169/2025/NĐ-CP,"NĐ69, điểm b khoản 4 Điều 13",A,TIME,L1,Cấp e-ID tổ chức không quá 15 ngày khi thông tin phải xác minh.,"Tương tự, coi là deadline của hệ e-ID bên ngoài.",AE13;AE20,Responsibility boundary documented.,ĐÁP ỨNG,,SU099,R1,
C08.05,C08,NĐ 69/2024/NĐ-CP; NĐ 169/2025/NĐ-CP,"NĐ69, khoản 1 Điều 18",A,SECURITY,L1,Hệ thống của cơ quan/tổ chức kết nối e-ID phải đáp ứng ATTT tối thiểu cấp độ 3.,V6/AE23 ghi ATTT cấp độ 3 là deployment precondition cho kết nối e-ID; chưa có system implementation để chứng minh.,AE13;AE14;AE20;AE23,Security architecture records level-3 precondition; operational/system-level evidence required.,MỘT PHẦN,Remains partial: implementation evidence required.,SU100,R1,
C08.06,C08,NĐ 69/2024/NĐ-CP; NĐ 169/2025/NĐ-CP,"NĐ69, khoản 2 Điều 18",A,INTEROP_GOV,L1,Kết nối/chia sẻ e-ID dựa trên văn bản thống nhất nêu rõ phạm vi và mục đích.,Interface contract stores scope/purpose/owner.,AE13;AE20,Contract checklist includes scope and purpose.,ĐÁP ỨNG,,SU101,R1,
C08.07,C08,NĐ 69/2024/NĐ-CP; NĐ 169/2025/NĐ-CP,"NĐ69, khoản 1 Điều 19",A,IDENTITY,L1,Xác thực danh tính/tài khoản điện tử qua hệ thống/nền tảng định danh và xác thực điện tử.,"Sử dụng adapter external e-ID, không tự phát hành authoritative identity.",AE13,Authentication flow ends at official e-ID provider.,ĐÁP ỨNG,,SU102,R1,
C08.08,C08,NĐ 69/2024/NĐ-CP; NĐ 169/2025/NĐ-CP,"NĐ69, khoản 2 và khoản 4 Điều 19",A,PRIVACY,L1,Cơ quan dịch vụ công có thể xác thực qua hệ e-ID/CSDL liên quan; kết quả xác thực không được tùy ý chia sẻ lại hay tái dùng làm yếu tố xác thực giao dịch khác.,Hạn chế persistence/redistribution của auth result theo mục đích.,AE13;AE14,No auth-result republishing; audit purpose/consumer.,ĐÁP ỨNG,,SU103,R1,
C08.09,C08,NĐ 69/2024/NĐ-CP; NĐ 169/2025/NĐ-CP,"NĐ169, khoản 1--2 Điều 43",A,IDENTITY,L1,"Khái niệm/phương thức xác thực mở rộng qua CSDL tổng hợp quốc gia, hệ e-ID và nền tảng dữ liệu/phương thức khác do Bộ Công an cung cấp.",Giữ adapter abstraction để không khóa nền tảng vào một provider/method duy nhất.,AE13;AE20,Identity interface supports replaceable authorized provider.,ĐÁP ỨNG,,SU104,R1,
C09.01,C09,Luật Bảo vệ dữ liệu cá nhân 91/2025/QH15; NĐ 356/2025/NĐ-CP,"Luật 91, điểm c khoản 1 Điều 19",A,LEGAL_BASIS,L1,Xử lý dữ liệu cá nhân phục vụ hoạt động cơ quan nhà nước/quản lý nhà nước có thể thuộc trường hợp không cần sự đồng ý.,Ghi legal basis/purpose thay vì mặc định yêu cầu consent cho mọi xử lý quản lý nhà nước.,AE14;AE15,Processing record includes legal basis/purpose.,ĐÁP ỨNG,,SU105,R1,
C09.02,C09,Luật Bảo vệ dữ liệu cá nhân 91/2025/QH15; NĐ 356/2025/NĐ-CP,"Luật 91, khoản 2 Điều 19",A,GOVERNANCE,L1,"Xử lý không cần consent phải có cơ chế giám sát, quy trình/trách nhiệm, biện pháp bảo vệ, đánh giá rủi ro và kiểm tra định kỳ.","V6 phân tách privacy governance: legal basis/purpose, access control, audit, risk-review hook, periodic control review.",AE14;AE15;AE20;AE23,"Privacy control profile có owner, purpose/legal basis, audit và risk/control-review linkage.",ĐÁP ỨNG,Privacy governance formalized at architecture level. WP7.3 maps this constraint to V6 trust-zone/control matrix.,SU106,R1,
C09.03,C09,Luật Bảo vệ dữ liệu cá nhân 91/2025/QH15; NĐ 356/2025/NĐ-CP,"Luật 91, điểm c khoản 1 Điều 37",A,SECURITY,L1,"Bên kiểm soát phải áp dụng và cập nhật biện pháp quản lý, kỹ thuật phù hợp để bảo vệ dữ liệu cá nhân.","AE23 + AE18 quản lý control catalog/policy có version, owner, effective date và review/update lifecycle.",AE14;AE18;AE23,Security/privacy controls versioned and reviewable; implementation efficacy deferred.,ĐÁP ỨNG,Control lifecycle formalized in WP3. WP7.3 maps this constraint to V6 trust-zone/control matrix.,SU107,R1,
C09.04,C09,Luật Bảo vệ dữ liệu cá nhân 91/2025/QH15; NĐ 356/2025/NĐ-CP,"Luật 91, điểm e khoản 1 Điều 37",A,DATA_RIGHTS,L1,Bên kiểm soát phải bảo đảm các quyền của chủ thể dữ liệu cá nhân theo Điều 4.,"V6 yêu cầu data-subject request hook/service, identity verification, case status, audit và linkage tới authoritative data.",AE14;AE15;AE23,Architecture has explicit handling point for applicable data-subject rights; detailed workflow/legal exceptions configured per case.,ĐÁP ỨNG,Data-subject-right concern formalized in WP3. WP7.3 maps this constraint to V6 trust-zone/control matrix.,SU108,R1,
